Nome,Cpu,Ram,DesvioPadraoRam,Disco(MB),TempoVida,TempoVidaFormatado
Generic_System_Process,0.33,0.0,0.0,0.28,9132.908980406477,2h 32min 13s
Kernel_Event_Worker_Core1,0.31,0.0,0.0,0,3028.666338344415,50min 29s
Containerized_Environments_Mgr,0.23,0.0,0.0,0,13797.244117569568,3h 49min 57s
Kernel_Event_Worker_Core3,0.2,0.0,0.0,0,2379.9917693138123,39min 40s
Kernel_Event_Worker_Unbound,0.39,0.0,0.0,0,2406.1142120626237,40min 6s
Kernel_Memory_Worker,0.2,0.0,0.0,0,812.2399334907532,13min 32s
HW_Interrupt_Driver_Wifi_Sensor,1.96,0.0,0.0,0,2421.386250734329,40min 21s
Artificial_Inteligence_Translating,4.58,0.0,0.0,3425.1,12636.45041062914,3h 30min 36s
Kernel_Core_Migration_Handler,0.2,0.0,0.0,0,13471.400607190233,3h 44min 31s
HW_Interrupt_Driver_A,1.19,0.0,0.0,0,2425.1259288447245,40min 25s
Artificial_Inteligence_Mapping,2.24,0.0,0.0,10.58,48.77071694944097,49s
SensorFusion_DB_Manager,1.02,0.0,0.0,0,14118.191061625535,3h 55min 18s
Kernel_Scheduler_RCU,0.22,0.0,0.0,0,13946.831046988169,3h 52min 27s
GPU_Display_Driver_Kernel_I915,0.28,0.0,0.0,0,6232.975650534034,1h 43min 53s
Vehicle_HMI_Display_Driver,9.44,0.0,0.0,7.42,13584.507824938471,3h 46min 25s
InterProcess_Comms_Bus,0.21,0.0,0.0,0.04,13632.155072071115,3h 47min 12s
Accessibility_Feature_Service,0.22,0.0,0.0,0.06,14289.455471427817,3h 58min 9s
Main_Control_Software,0.31,0.0,0.0,3.28,936.2325547919876,15min 36s
Browser_Module,5.13,0.0,0.0,95.16,9779.4261298674,2h 42min 59s
System_Integration_Layer_GTK,0.2,0.0,0.0,1.37,13817.33779776891,3h 50min 17s
Autonomous_Navigation_System,9.74,0.0,0.0,85.94,13799.892508092968,3h 50min 0s
Thermal_Management_Unit_Driver,0.26,0.0,0.0,0,14409.62447018019,4h 10s
System_Integration_Layer,0.23,0.0,0.0,1.04,13516.884122745807,3h 45min 17s
GPU_Buffer_Flip_Handler,0.47,0.0,0.0,0,812.3763705662319,13min 32s
Network_Discovery_Service,0.33,0.0,0.0,0,13096.069684851915,3h 38min 16s
Memory_Management_Unit,0.51,0.0,0.0,0,15166.975191041827,4h 12min 47s
Artificial_Inteligence_Constructing,3.32,0.0,0.0,30.36,1288.4714449325963,21min 28s
